model,nabcena,prodcena
Chevrolet Aveo,10.965,11.69
Chevrolet Cavalier,13.884,14.81
Dodge Neon SE,12.849,13.67
Dodge Neon SXT,14.086,15.04
Ford Focus LX,12.906,13.73
Ford Focus SE,14.496,15.46
Ford Focus ZX5,14.607,15.58
Honda Civic LX,14.531,15.85
Hyundai Accent GL,11.116,11.839
Hyundai Elantra GLS,12.781,13.839
Hyundai Elantra GT,14.207,15.389
Kia Optima LX,14.91,16.04
Kia Rio,9.875,10.28
Kia Spectra,11.63,12.36
Mini Cooper,15.437,16.999
Nissan Sentra 1.8,12.205,12.74
Saturn Ion1,10.319,10.995
Saturn lon2,13.393,14.3
Saturn lon3,14.811,15.825
Suzuki Aeno S,12.719,12.884
Suzuki Aerio LX,14.317,14.5
Suzuki Forenza S,12.116,12.269
Suzuki Forenza EX,15.378,15.568
Toyota Corolla CE,13.065,14.085
Toyota Corolla S,13.65,15.03
Toyota Corolla LE,13.889,15.295
Toyota Echo,10.642,11.29
Chevrolet Impala,20.095,21.9
Chevrolet Malibu,17.434,18.995
Chevrolet Malibu LS,18.639,20.37
Chrysler PT Cruiser,16.919,17.985
Chrysler Sebring,17.805,19.09
Dodge Intrepid SE,20.502,22.035
Dodge Stratus SXT,17.512,18.82
Dodge Stratus SE,18.821,20.22
Ford Focus SVT,17.878,19.135
Ford Taurus LX,18.881,20.32
Ford Taurus SES Duratec,20.857,22.735
Honda Civic EX,16.265,17.75
Honda Civic Hybrid,18.451,20.14
Hyundai Sonata GLS,17.574,19.339
Hyundai Sonata LX,18.38,20.339
Kia Optima LX V6,16.85,18.435
Mazda6 I,17.817,19.27
Mini Cooper S,18.137,19.999
Nissan Altima S,18.03,19.24
Nissan Sentra SE-R,16.444,17.64
Pontiac Grand Prix GT1,20.545,22.395
Saturn L300-2,19.801,21.41
Subaru Impreza 2.5 RS,18.399,19.945
Subaru Legacy L,18.713,20.445
Suzuki Verona LX,17.053,17.262
Toyota Camry LE,17.558,19.56
Toyota Camry LE V6,20.325,22.775
Toyota Prius,18.926,20.51
Volkswagen Golf GLS,17.478,18.715
Volkswagen Jetta GLS TDI,19.638,21.055
